"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2016-Q4",187.99071104722,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q1",183.74478638259,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q2",154.43580205163,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q3",453.16198850186,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2017-Q4",-48.472551008905,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q1",141.6263424997,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q2",30.685707541603,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q3",246.66587985365,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2018-Q4",541.72076006137,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q1",139.93059442517,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q2",69.405574834882,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q3",415.31400425389,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2019-Q4",303.36952871376,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q1",193.73219373219,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q2",208.54700854701,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q3",333.90313390313,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2020-Q4",266.66666666667,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2021-Q1",566.46168401135,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2021-Q2",562.91390728477,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2021-Q3",557.00094607379,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2021-Q4",1635.5250709555,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2022-Q1",335.47165842886,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2022-Q2",331.26511725734,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2022-Q3",649.91061100011,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2022-Q4",187.19108213272,
"LVA","FDIFLOW","INWARD","MLN_USD","Q","2023-Q1",200.62225083146,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q1",88.941988583566,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q2",111.50935882119,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q3",53.099694676756,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2013-Q4",157.97159166335,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q1",301.18084118349,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q2",-23.88218123922,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q3",42.457211091946,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2014-Q4",220.24678253947,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q1",74.320576816417,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q2",-29.950083194676,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q3",0,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2015-Q4",28.840820854132,
"LVA","FDIFLOW","OUTWARD","MLN_USD","Q","2016-Q1",-2.2116554240849,
